id,date,content
121,2022-09-09 07:29:15+00:00,"['prince', 'charles', 'would', 'become', 'king', 'would', 'queens', 'counsel', 'replaced', 'word', 'kings', 'counsel', 'lawtwitter', 'queenelizabeth']"
122,2022-09-09 07:29:13+00:00,"['end', 'way', 'lived', 'life', 'mindful', 'legacy', 'wish', 'leave', 'behind', 'legacy', 'thoughts', 'values', 'courage', 'legacy', 'character', 'sense', 'duty', 'choose', 'wisely', 'teachings', 'rip']"
123,2022-09-09 07:20:40+00:00,"['virat', 'kohli', 'x', 'queen', 'elizabeth', 'queenelizabethii', 'viratkohli', 'sdjmm']"
124,2022-09-09 07:16:26+00:00,"['feeling', 'elizabeth', 'ii', 'queenelizabeth']"
125,2022-09-09 07:15:12+00:00,"['end', 'era', 'bbc', 'announced', 'death', 'queenelizabeth', 'decades', 'prime', 'ministers', 'queen', 'majesty', 'queen', 'elizabeth', 'ii', 'passed', 'away', 'peacefully', 'srriqbltz']"
126,2022-09-09 07:10:53+00:00,"['shocked', 'see', 'indians', 'sad', 'demise', 'monarch', 'uk', 'queenelizabethii']"
127,2022-09-09 07:06:17+00:00,"['uk', 'citizens', 'indians', 'putting', 'rest', 'peace', 'updates', 'queen']"
128,2022-09-09 07:01:09+00:00,"['queen', 'elizabeth', 'represented', 'monarchy', 'morally', 'supported', 'plunder', 'loot', 'half', 'planet', 'hundreds', 'years', 'damned', 'people', 'starved', 'death', 'royal', 'family', 'never', 'said', 'word', 'african', 'slave', 'trade', 'bengal', 'famine', 'jalianwala', 'bagh', 'rip', 'majesty']"
129,2022-09-09 06:52:46+00:00,"['rest', 'peace', 'queen']"
130,2022-09-09 06:51:02+00:00,"['symbol', 'colonialism', 'kingsway', 'erased', 'history', 'forever', 'pm', 'narendra', 'modi', 'stcoghxtibmcb']"
